user_id,order_id,reg_date,transaction_date,revenue
57562,94545,2013-12-22,2015-07-16,1088
40047,81824,2013-11-24,2015-01-19,1027
48153,144851,2015-07-03,2015-10-29,601
54591,116111,2013-07-12,2015-04-30,881
39789,134943,2013-05-25,2015-07-21,984
72102,84827,2015-08-09,2015-11-18,946
50977,136343,2012-06-27,2015-03-13,1028
65139,62746,2014-11-09,2015-07-17,1048
39097,191175,2014-12-25,2015-08-09,1147
61469,54728,2015-07-27,2015-11-02,872
20688,123746,2012-05-11,2015-08-03,1002
55963,114131,2015-07-11,2015-08-26,1004
42432,129397,2015-06-29,2015-09-20,442
53288,198591,2015-01-08,2015-04-24,773
68685,37792,2015-07-20,2015-09-30,854
52541,126932,2015-07-09,2015-10-15,951
53312,153895,2015-06-28,2015-06-28,580
102818,145292,2013-10-31,2015-07-22,1163
61664,147114,2015-10-07,2015-11-05,1225
66492,127696,2014-12-30,2015-10-20,1127
51516,127511,2014-11-15,2015-03-15,1391
56674,181304,2015-03-23,2015-10-24,978
55393,173124,2015-09-27,2015-10-31,729
15251,96129,2014-12-13,2015-09-24,1270
7022,204300,2014-11-03,2015-05-07,632
29723,92668,2014-11-27,2015-04-27,1297
45928,141829,2015-04-12,2015-05-15,1035
44471,81339,2014-11-14,2015-01-17,1087
47467,184263,2014-08-18,2015-03-08,914
66305,75600,2015-06-21,2015-09-01,1296
33896,130692,2015-09-26,2015-09-26,1397
55602,124440,2014-09-01,2015-01-02,993
62522,42949,2014-02-11,2015-05-07,714
79596,77959,2014-09-29,2015-05-13,737
50394,128982,2014-11-30,2015-05-26,1083
13613,125630,2014-05-23,2015-09-01,726
64069,80414,2015-03-24,2015-07-21,656
38712,107040,2015-04-25,2015-07-05,998
47679,73277,2014-12-17,2015-05-24,746
51137,86742,2015-07-05,2015-07-11,1012
33290,121232,2015-10-14,2015-10-18,1067
46759,158506,2015-03-23,2015-08-25,1119
39173,135860,2012-05-07,2015-06-13,1356
18934,128694,2015-04-08,2015-04-08,1378
49724,129379,2015-01-07,2015-10-11,1232
58280,109272,2013-01-19,2015-03-27,1075
42073,115810,2015-10-28,2015-11-15,1276
73959,102511,2015-02-22,2015-08-21,955
63177,133014,2013-08-09,2015-06-18,1061
56413,97367,2014-12-31,2015-04-18,1072
23912,116483,2015-04-19,2015-06-21,1012
43961,116215,2013-02-22,2015-05-06,984
30327,-17179,2015-01-11,2015-04-08,1097
45870,107394,2015-03-17,2015-04-25,1172
50935,80073,2014-05-30,2015-05-07,1207
33443,81090,2012-12-09,2015-10-19,1376
29497,108318,2013-03-07,2015-03-30,1080
69600,96322,2014-06-24,2015-09-30,1068
31336,188864,2015-05-17,2015-07-14,423
53764,144402,2014-11-10,2015-05-05,1691
37304,141520,2015-04-04,2015-11-12,1063
63400,44322,2015-07-29,2015-08-01,1254
27321,54337,2015-01-17,2015-05-16,1113
43279,72232,2014-09-29,2015-06-17,1147
69469,68745,2014-06-12,2015-05-05,520
75136,197687,2015-08-29,2015-08-29,716
38647,199233,2015-04-01,2015-08-24,1254
68466,-38969,2015-06-25,2015-06-25,1089
41818,27559,2014-12-30,2015-03-28,896
61214,91802,2015-03-07,2015-03-07,758
39125,89811,2013-02-17,2015-06-21,620
46915,57458,2014-10-30,2015-03-31,835
3595,116651,2015-08-05,2015-08-05,1455
74499,88426,2013-10-21,2015-09-17,761
67407,78477,2013-12-23,2015-11-07,997
97127,160803,2014-09-24,2015-09-02,1069
31000,151977,2015-07-08,2015-08-15,971
51183,113680,2012-11-22,2015-02-03,1359
80080,98298,2014-10-28,2015-08-10,741
44917,114708,2014-03-30,2015-07-13,883
51019,50560,2013-08-04,2015-02-08,562
22188,112550,2015-02-08,2015-09-25,945
