rubric,host_name,organization_name
Новостройки,italian-quartal.com,"Итальянский квартал, жилой комплекс, ООО ИНСИГМА ДЕВЕЛОПМЕНТ"
Оценка собственности,0-cenka.ru,0-ценка.ру
Детская одежда,0-childrens-store.business.site,"0+, детский магазин"
Безалкогольные напитки,0-drink.store,"0-drink.store, интернет-магазин"
Автомобили,0.bnmotors.ru,
Лифты,0.lift.ru,
Входные двери,00-23.ru,"Дизайнерские двери, ООО, магазин входных и межкомнатных дверей"
Нотариальные услуги,000119.ru,Нотариус Якушенко Е.А.
Электрические транспортные средства,000store.ru,"000store, магазин"
Обучение по охране труда,000visma.ru,"ВИСМА, учебный центр"
Нотариальные услуги,00100011.notary.ru,Нотариус Глуховченко Л.И.
Строительство дач / коттеджей,001k.ru,Кирпичный завод
Косметика / Парфюмерия,001ru.ru,"Сувенирика, оптовый интернет-магазин"
Школы-интернаты,001spb.edusite.ru,"Школа-интернат №1, Выборгский район"
Товары для праздничного оформления / организации праздников,003-0003.ru,"ВСЕ ДЛЯ ПРАЗДНИКА, магазин фейерверков"
Стоматологические центры,003-stom.ru,"Здоровье, стоматологическая клиника"
Справочно-информационные услуги,003.ms,"Справмедика, справочная аптек и медицинских услуг"
Справочно-информационные услуги,003.su,"Интернет-аптека 003, справочная"
Аптеки,003ms.ru,"Здравушка, ООО, аптека"
Аптеки,003rt.ru,"Таттехмедфарм, ГУП, сеть аптек"
Бытовая техника,004.ru,"004.ru, интернет-магазин бытовой техники"
Системы безопасности и охраны,007.ru,"Шпионские штучки, магазин"
Страхование,00724.овнд.рф,Регион-Автоцентр
Юридические услуги,007advokat.ru,Адвокатский кабинет Мякинькова Е.Г.
Авиабилеты,007bilet.ru,"Сервис 007, компания по продаже билетов"
Копировальные услуги,007copy.ru,"007, сеть копировальных центров"
Агентства недвижимости,007dom.ru,"КРЕДО, агентство недвижимости"
Агентства недвижимости,007ex.com,
Ремонт / отделка помещений,007spb.ru,"007, единый центр услуг"
Автозапчасти для иномарок,007zap.ru,"007zap, магазин автозапчастей"
Парикмахерские,008.ru,"Фея, салон красоты"
Сувениры,008ru.ru,Букет подарков
Справочно-информационные услуги,009.am,Аптечная справочная Сибири
Товары для охоты,009.ru,"009.ru, интернет-магазин"
Справочно-информационные услуги,009.рф,"009.рф, онлайн-справочная наличия и цен лекарств в аптеках"
Пункты технического осмотра транспорта,00944.umax.ru,"Авто-М, ООО, пункт технического осмотра"
Дизайн рекламы,00am.ru,"Ваше время, компания"
Оборудование для салонов красоты,00rf.ru,"Веста-север, ООО, торговая компания"
Спецодежда / Средства индивидуальной защиты,01-36.ru,Сеть магазинов спецодежды
